question,answer,intent
Legal guidance needed: 75.	Can a party invoke jurisdiction of any other Court or Statutory Forum/ Tribunal after filing an application before Permanent Lok Adalat (Public Utility Services) in the same dispute?,"No. After an application is made to the Permanent Lok Adalat, no party to that application shall invoke jurisdiction of any other Court in the same dispute.",lok_adalat_info
Where can I get help if I'm a crime victim?,You can approach the DLSA or police to get immediate help and legal support.,victim_support
Help me know about: 24. Is an Industrial Workman eligible for free legal aid?,"Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same.",legal_aid_info
"How do I go about 15. how can one give feedback on the services provided by the legal services institutions under the legal services authorities act, 1987??",One can submit the feedback on the LSMS portal; by email or post or by visiting the office of the concerned Legal Services Authority.,general_legal_service
Can a juvenile be sent to jail?,"Juveniles are sent to observation homes, not jails, under the Juvenile Justice Act.",juvenile_justice
Please explain: 24. Is an Industrial Workman eligible for free legal aid?,"Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same.",legal_aid_info
"23. Is a person under circumstances of undeserved want (such as being a victim of a mass disaster, ethnic, violence, caste atrocity, flood, drought, earthquake, or industrial disaster) eligible for free legal aid?","Yes. Section 12 of the Legal Services Authorities Act, 1987, provides for the same.",legal_aid_info
Please explain: 22. Is a person with mental illness eligible for grant of free legal aid?,"Yes. Section 12 (d) of the Legal Services Authorities Act, 1987, provides for the same.",legal_aid_info
I want to understand 73.	is it compulsory for the parties to appear in person during a hearing in permanent lok adalat for public utility services?,"Yes.  The appearance of the parties in person is necessary at the time of conducting conciliation proceedings between the parties, but they may not be required to appear in person at the time of filing of applications for taking cognizance of case by Permanent Lok Adalat.",lok_adalat_info
"Can you help me with: 14. Can one get free legal consultation only, even if one does not want to pursue a proper case in the courts??","Yes, it is possible to get legal consultation only (which is covered under “legal advice and assistance”).",court_procedure
Can a juvenile be sent to jail?,"Juveniles are sent to observation homes, not jails, under the Juvenile Justice Act.",juvenile_justice
What are the steps involved in 82.	what is mediation??,"Mediation is a non-binding negotiation process in which a neutral third person facilitates the parties to the dispute in arriving at a mutually acceptable settlement. The process is informal where the outcome of the dispute is controlled by the parties themselves. The entire process is confidential. Civil cases, matrimonial and family disputes are best suited for mediation.",mediation
Help me know about: 72.	How can one file an application before the Permanent Lok Adalats for Public Utility Services?,"An application can be filed before the Permanent Lok Adalats for Public Utility Services on a plain paper depicting the true and correct facts and the details of the person/Authority/public utility services provider against whom relief is claimed, on any working day. Such an application should however, be accompanied by supporting documents and copies to be furnished to the opposite party.",lok_adalat_info
Can you help me with: 43.	Who is a Legal Aid Defence Counsel??,Legal Aid Defence Counsels are appointed by the District Legal Services Authority to provide legal representation in criminal matters within the district. They are attached to the Legal Aid Defence Counsel office and are dedicated only to provide legal aid services i.e. they cannot take up any private legal cases. They are neither Government pleaders or advocates nor public servants.,legal_aid_info
How do I go about 19. how can a child apply for grant of free legal aid??,A child can apply for legal aid through his parents/ legal guardian.,legal_aid_info
What is the procedure for: 5. what are the high court legal services committees? what are their roles and responsibilities??,"Section 8A of the Legal Services Authorities Act, 1987, provides that the SLSA shall constitute a Committee to be called the High Court Legal Services Committee (HCLSC) for every High Court, for the purpose of exercising such powers and performing such functions as may be determined by Regulations made by the State Authority. It is headed by a sitting Judge of the concerned High Court, as the Chairman. HCLSCs have been established to provide free and competent legal services to weaker sections of the society who wish to file or defend a case in the concerned High Court of a State.",court_procedure
68.	What is a ‘Public Utility Service’?,"A ‘Public Utility Service’, as defined by Section 22-A(b) of the Legal Services Authorities Act, 1987, means any-Transport service for the carriage of passengers or goods by air, road or water; orPostal, telegraph or telephone service; orsupply of power, light or water to the public by any establishment; orSystem of public conservancy or sanitation; orService in hospital or dispensary; orinsurance service; orEducation or educational institutions;Housing and real-estate services and includes any service which the Central Government or the State Government, as the case may be, may, in the public interest, by notification declare to be a public utility service for the purpose of Chapter VI-A of the Act.",general_legal_info
Help me know about: 11. Are there any Helpline Services provided by NALSA for urgent legal assistance?,Yes. One can directly contact on NALSA Helpline Toll-Free Number 15100 to seek urgent legal assistance.,general_legal_info
How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.,bail_procedure
What are the steps involved in 6. what is the supreme court legal services committee? what is its role and responsibility??,"The Supreme Court Legal Services Committee (SCLSC) is constituted under Section 3A of the Legal Services Authorities Act, 1987, to provide free and competent legal services to those who fall within the purview of Section 12 of the Legal Services Authorities Act, 1987, in cases that fall under the jurisdiction of the Supreme Court of India.",court_procedure
Please explain: 65.	What are the kinds of cases can be taken up in a Lok Adalat?,"The following types of cases can be settled in the Lok Adalats:Any case of civil nature andCompoundable criminal cases.One can approach the Lok Adalat even at the pre-litigation stage (i.e. before a case is filed in the Court of law). If a case falling under the above category is pending in the Court, the concerned party may request the Court to have the matter referred to the Lok Adalat.However, matters relating to divorce and criminal cases which are non-compoundable under the Code of Criminal Procedure cannot be referred to the Lok Adalat.",lok_adalat_info
How do I go about 77.	what procedure is adopted by the permanent lok adalat (public utility services) while conducting conciliation proceedings or deciding a dispute on merit.?,"Permanent Lok Adalat shall be guided by the principles of natural justice, objectivity, fair play, equity and other principles of justice as per Section 22-D of the Legal Services Authorities Act, 1987.",lok_adalat_info
Help me know about: 62.	How can one know the case status? Where can one find the next date of hearing ?,"One can request one’s legal aid lawyer to give update about the case status and the next date of hearing. Additionally, one may download the ‘e-courts’ app on mobile phone or visit their website here- https://services.ecourts.gov.in/ecourtindia_v6/ and enter the case details to find out all information related to the case.",general_legal_info
I want to understand 49.	do legal services help with legal issues related to land and property disputes?,"NALSA helps individuals access legal aid through different Legal Services Institution such as SLSAs/DLSAs, if they meet the eligibility criteria under Section 12 and 13 of the Legal Services Authorities Act, 1987. It encourages individuals to resolve their land and property related disputes through Alternative Dispute Resolution mechanisms (Lok Adalat and Mediation).",general_legal_service
Help me know about: 47.	Can Legal Services Institutions under the Act provide assistance in accessing justice for victims of sexual harassment or assault?,"Yes. Legal Services Institutions are duty bound to provide legal aid to such categories of persons as well as per Section 12(c) of the Legal Services Authorities Act, 1987. Section 40 of the Protection of Children from Sexual Offences Act, 2012 also provides for the same. NALSA has also come up with a Scheme titled “Compensation Scheme for Women Victims/Survivors of Sexual Assault/other Crimes – 2018”, which has been used as a template by other States to formulate a Scheme for victim compensation. Victims of sexual crimes are paid compensation in terms of the prevailing schemes for victim compensation and the SLSAs are the disbursement authority for the compensation.",general_legal_service
What is Section 498A?,It protects women from cruelty by husband or relatives under Indian Penal Code.,section_498a_info
How do I go about 44.	who are para-legal volunteers??,Paralegal volunteers (PLVs) are volunteers selected from diverse social and educational backgrounds through the process of NALSA’s Para-Legal Volunteers Scheme. They are expected to act as intermediaries in bridging the gap between the common people and the Legal Services Institutions reaching out to the people at their doorsteps.,general_legal_info
Please explain: 3. What are the State Legal Services Authorities? What are their roles and responsibilities?,"A State Legal Services Authority (SLSA) is constituted for every State/Union Territory under Section 6 of the Legal Services Authorities Act, 1987. The SLSA is headed by the Chief Justice of the High Court of the respective State, as its Patron-in-Chief. SLSAs give effect to the policy and directions of NALSA, and are assigned the following functions under Section 7 of the Legal Services Authorities Act, 1987:Give legal service to persons who satisfy the criteria laid down under Section 12 of the Legal Services Authorities Act, 1987;Conduct Lok Adalats, including Lok Adalats for High Court cases;Undertake preventive and strategic legal aid programmes; andPerform such other functions as the State Authority may, in consultation with NALSA, fix by Regulations.",general_legal_service
Please explain: 52.	Can Legal Services Institutions assist in cases of wrongful termination or unfair labour practices?,"Yes, Legal Services Institutions can provide legal aid in cases of wrongful termination or unfair labour practices under Section 12 (f) of the Legal Services Authorities Act, 1987. Their issues are also addressed under the NALSA (Legal Services to the Workers in the Unorganized Sector) Scheme, 2015 by mobilizing the machinery of the State Government and the District Administration to identify and register all unorganized workers in all categories and to extend the benefits of all government schemes.",general_legal_service
What should I do for: 53.	can legal services institutions assist individuals facing discrimination based on caste or religion??,"Under Section 12 (a) of the Legal Services Authorities Act, 1987, a member of a Scheduled Caste or Scheduled Tribe is entitled to seek free legal aid. Such persons can approach their nearest Legal Services Institution or visit Legal Services Clinics to avail free legal aid.",general_legal_service
"Can you help me with: 59.	How will a person get an intimation/information of the acceptance, success, failure, etc. of his application??","Once the application is scrutinized by the concerned authorities, the information of its success or failure is given to the applicant in the following ways:If the application was made physically at the front office of any Legal Services Institution, an address (either residential or email) for correspondence is usually noted and information regarding the application is sent to the same.If the application is made online via the LSMS Portal via the NALSA website, an application number is generated, and the appropriate Legal Services Institution is contacted. The applicant can track the status of the application on the online portal itself.If the application has been received from Government Departments / Centralized Public Grievance Redress and Monitoring System (CPGRAM), an email is sent to the applicant. The applicant can also get a scanned copy of the application on the CPGRAM website. Remarks regarding the application are also made on CPGRAM website and the website of the Legal Services Institution.",general_legal_info
Help me know about: 68.	What is a ‘Public Utility Service’?,"A ‘Public Utility Service’, as defined by Section 22-A(b) of the Legal Services Authorities Act, 1987, means any-Transport service for the carriage of passengers or goods by air, road or water; orPostal, telegraph or telephone service; orsupply of power, light or water to the public by any establishment; orSystem of public conservancy or sanitation; orService in hospital or dispensary; orinsurance service; orEducation or educational institutions;Housing and real-estate services and includes any service which the Central Government or the State Government, as the case may be, may, in the public interest, by notification declare to be a public utility service for the purpose of Chapter VI-A of the Act.",general_legal_info
77.	What procedure is adopted by the Permanent Lok Adalat (Public Utility Services) while conducting conciliation proceedings or deciding a dispute on merit.,"Permanent Lok Adalat shall be guided by the principles of natural justice, objectivity, fair play, equity and other principles of justice as per Section 22-D of the Legal Services Authorities Act, 1987.",lok_adalat_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
Help me know about: 34. Can a person who is aggrieved by an order of a High Court or the Supreme Court get free legal aid to file an appeal/ curative petition etc.?,Yes. One can apply for legal aid for challenging orders passed by the High Courts as well as the Supreme Court.,legal_aid_info
What is the procedure for: 6. what is the supreme court legal services committee? what is its role and responsibility??,"The Supreme Court Legal Services Committee (SCLSC) is constituted under Section 3A of the Legal Services Authorities Act, 1987, to provide free and competent legal services to those who fall within the purview of Section 12 of the Legal Services Authorities Act, 1987, in cases that fall under the jurisdiction of the Supreme Court of India.",court_procedure
"I want to understand 39. can a person get free legal aid to challenge an order rejecting, dismissing or cancelling bail when the criminal appeal is pending before the high court or supreme court?",The grant of legal aid can be considered for filing a petition before the High Courts or Supreme Court against any interlocutory order including the rejection of bail. Such a person can get free Legal Aid if he/she satisfies the conditions and eligibility criteria as laid down under Section 12 of the Legal Services Authorities Act.,legal_aid_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
What happens in a court's first hearing?,The court hears initial arguments and sets dates for evidence submission or next steps.,first_hearing_info
I want to understand 70.	what type of disputes in public utility services the permanent lok adalats for public utility services would decide?,"The Permanent Lok Adalats for Public Utility Services would decide disputes relating to deficiency in service, claims for damages/ compensation, recovery of money, etc., pertaining to all Public Utility services.",lok_adalat_info
Can a woman get free legal aid?,"Yes, all women are entitled to free legal aid regardless of income.",legal_aid_for_women
Please explain: 27. Can persons called for questioning at the Police Station or persons arrested by the Police avail free legal aid?,"Yes, as per NALSA’s Early Access to Justice at Pre-Arrest, Arrest and Remand framework, persons called for questioning i.e. suspects and persons arrested by the police can also avail free legal aid.",legal_aid_info
"Help me know about: 59.	How will a person get an intimation/information of the acceptance, success, failure, etc. of his application?","Once the application is scrutinized by the concerned authorities, the information of its success or failure is given to the applicant in the following ways:If the application was made physically at the front office of any Legal Services Institution, an address (either residential or email) for correspondence is usually noted and information regarding the application is sent to the same.If the application is made online via the LSMS Portal via the NALSA website, an application number is generated, and the appropriate Legal Services Institution is contacted. The applicant can track the status of the application on the online portal itself.If the application has been received from Government Departments / Centralized Public Grievance Redress and Monitoring System (CPGRAM), an email is sent to the applicant. The applicant can also get a scanned copy of the application on the CPGRAM website. Remarks regarding the application are also made on CPGRAM website and the website of the Legal Services Institution.",general_legal_info
What should I do for: 78.	whether the award passed by the permanent lok adalat (public utility sevices) is final or appealable??,"Every award of the Permanent Lok Adalat made either on merit or in terms of a settlement agreement, shall be final and binding on all the parties thereto and on persons claiming under it as per Section 22-E (1) of the Legal Services Authorities Act, 1987 and shall not be called in question in any original suit, application or execution proceeding as per Section 22-E (4) of the Legal Services Authorities Act, 1987.",lok_adalat_info
How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.,bail_procedure
"Please explain: 45.	What types of legal matters do the Legal Services Institutions under the Legal Services Authorities Act, assist with?","The Legal Services Institutions under the Legal Services Authorities Act, 1987 provide legal aid and assistance in civil as well as criminal cases. They also provide assistance in quasi- criminal or judicial cases. They also provide legal assistance and legal aid in cases before Tribunals and Forums.",general_legal_service
"How do I go about 40. can a person who is abroad but has a case to file or defend in india, get legal aid??","Yes, such a person may apply for legal aid through email or LSMS Portal, provided he/ she meets the criteria under Section 12 and 13 of the Legal Services Authorities Act, 1987.",legal_aid_info
What are the steps involved in 18. till what age is a child eligible for free legal aid??,"A child is eligible for free legal aid till the age of majority i.e. 18 years. This is provided in Section 12 (c) of the Legal Services Authorities Act, 1987. So, any child can apply for free legal aid till he turns 18 years old. Even on attaining the age of majority, the child can continue to get free legal aid, if she/ he falls within the other criteria enlisted in Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
Help me know about: 2. What is the role and function of NALSA?,"As per Section 4 of the Legal Services Authorities Act, 1987, NALSA has been assigned to perform all or any of the following functions:Laying down policies and principles for making legal services available under the provisions of the Legal Services Authorities Act, 1987;Framing the most effective and economical schemes for the purpose of making legal services available under the provisions of the Legal Services Authorities Act, 1987;Utilizing the funds at its disposal and making appropriate allocations of funds to the State Authorities and District Authorities;Taking necessary steps by way of social justice litigation with regard to consumer protection, environmental protection, or any other matter of special concern to the weaker sections of the society and for this purpose, give training to social workers in legal skills;Organizing legal aid camps, especially in rural areas, slums, or labor colonies with the dual purpose of educating the weaker sections of the society as to their rights as well as encouraging the settlement of disputes through Lok Adalats;Encouraging the settlement of disputes by way of negotiation, arbitration, and conciliation;Undertaking and promoting research in the field of legal services with special reference to the need for such services among the poor;Doing all things necessary for the purpose of ensuring commitment to the Fundamental Duties of citizens under Part IVA of the Constitution;Monitoring and evaluating implementation of the legal aid programmes at periodic intervals and providing independent evaluation of programmes and schemes implemented in whole or in part by funds provided under this Act;Providing grants-in-aid for specific schemes to various voluntary social service institutions and the State and District Authorities, from out of the amounts placed at its disposal for the implementation of the legal services schemes under the provisions of this Legal Services Authorities Act, 1987;Developing, in consultation with the Bar Council of India, programmes for clinical legal education and promoting guidance and supervising the establishment and working of legal services clinics in universities, law colleges, and other institutions;Taking appropriate measures for spreading legal literacy and legal awareness amongst the people and, in particular, to educate weaker sections of the society about the rights, benefits, and privileges guaranteed by social welfare legislations and other enactments as well as administrative programmes and measures;Making special efforts to enlist the support of voluntary social welfare institutions working at the grassroots level, particularly among the Scheduled Castes and the Scheduled Tribes, women, and rural and urban labor; andCoordinating and monitoring the functioning of State Authorities, District Authorities, Supreme Court Legal Services Committee, High Court Legal Services Committees, Taluka Legal Services Committees and voluntary social service institutions and other legal services organizations and give general directions for the proper implementation of the legal services programs.As per Section 5 of the Legal Services Authorities Act, 1987, NALSA has also been entrusted with the duty to work in coordination with other agencies for the purposes of providing access to justice to the marginalized sections of the society.",general_legal_info
What should I do for: 55.	can one get free legal aid lawyer at any stage of case? can one get free legal aid at the time of appeal even though a person had a personal lawyer before the appellate stage??,"Yes, one can apply to get free legal aid at any stage of the case as long as one is eligible to obtain free legal services as per Section 12 of the Legal Services Authorities Act, 1987. Even if a person had a personal lawyer before and now requires a legal aid lawyer only at the stage of appeal (and is eligible under Section 12 of the Legal Services Authorities Act, 1987), the person can make an application to avail the same. Even if a person has engaged a private lawyer, he/ she can also get second opinion from Panel Lawyers.",legal_aid_info
What are the steps involved in 74.	is there any condition to affix court fee on the application to be filed before permanent lok adalat (public utility services) ??,"No, there is no requirement of affixing any Court Fee.",lok_adalat_info
What is the procedure for: 7. what are legal services? what is included in free legal aid provided by the legal services institutions? what is the nature of free legal services??,"According to Section 2(c) of the Act, “legal services” includes any service in the conduct of any case or other legal proceeding before any court or other authority or tribunal and the giving of advice on any legal matter. It includes free legal services in civil and criminal matters for those poor and marginalized people who cannot afford the services of a lawyer for the conduct of a case or a legal proceeding in any Court, Tribunal or Authority. Provision of free legal aid may include:Representation by an Advocate in legal proceedings;Payment of process fees, expenses of witnesses and all other charges (charges such as court fees, stamp duty etc.) payable or incurred in connection with any legal proceedings in appropriate cases (provided that Court Fees will be payable only after an application moved before the concerned Court for suing as an indigent has been disposed of and orders of the Court obtained thereon);Preparation of pleadings, memo of appeal, paper book including printing and translation of documents in legal proceedings;Drafting of legal documents, special leave petition etc.;Supply of certified copies of judgments, orders, notes of evidence and other documents in legal proceedings.Free Legal Services also include provision of aid and advice to the beneficiaries to access the benefits under the welfare statutes and schemes framed by the Central Government or the State Government and to ensure access to justice in any other manner.",legal_aid_info
Can you help me with: 28. Can persons avail of legal aid services at the time of production and remand hearings in magistrate courts??,"Yes, persons can avail of free legal aid services at the time of production and remand hearing in Magistrate Courts including the courts of Executive Magistrates.",legal_aid_info
Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act.",senior_citizen_support
Help me know about: 28. Can persons avail of legal aid services at the time of production and remand hearings in magistrate courts?,"Yes, persons can avail of free legal aid services at the time of production and remand hearing in Magistrate Courts including the courts of Executive Magistrates.",legal_aid_info
Help me know about: 37. Can a convict apply for free legal aid to challenge his conviction before the High Court or Supreme Court?,Yes. He can apply for free legal aid in these scenarios as well. He may apply through the prison authorities or the prison legal aid clinic established by the Legal Services Institutions along with the legal aid formal application and custody certificate.,legal_aid_info
How do I go about 68.	what is a ‘public utility service’??,"A ‘Public Utility Service’, as defined by Section 22-A(b) of the Legal Services Authorities Act, 1987, means any-Transport service for the carriage of passengers or goods by air, road or water; orPostal, telegraph or telephone service; orsupply of power, light or water to the public by any establishment; orSystem of public conservancy or sanitation; orService in hospital or dispensary; orinsurance service; orEducation or educational institutions;Housing and real-estate services and includes any service which the Central Government or the State Government, as the case may be, may, in the public interest, by notification declare to be a public utility service for the purpose of Chapter VI-A of the Act.",general_legal_info
Legal guidance needed: 63.	Can a person get legal advice for more than one matter?,"Yes, a person can get legal advice for more than one matter.",general_legal_info
Help me know about: 60.	When can legal aid be denied or withdrawn?,"Legal Aid can be denied at the initial stage before the application for legal aid is accepted. It can also be withdrawn at the later stage after the application has been accepted and legal aid has been provided. Legal aid can be denied or withdrawn in the following circumstances:Legal aid can be denied if a person is found ineligible under Section 12 of the Legal Services Authorities Act, 1987;Legal aid can be withdrawn if the aided person who applied under the income category is found to possess sufficient means;Legal aid can be withdrawn where the aided person obtained legal services by misrepresentation or fraud;Legal aid can be withdrawn where the aided person does not cooperate with the Legal Services Institution or with the Legal Services Advocate;Legal aid can be withdrawn where the person engages a legal practitioner other than the one assigned by the Legal Services Institution;Legal aid can be withdrawn in the event of death of the aided person except in the case of civil proceedings where the right or liability survives;Legal aid can be withdrawn where the application for legal service or the matter in question is found to be an abuse of the process of law or of legal services.Regulation 6 of the National Legal Services Authority (Free And Competent Legal Services) Regulations, 2010 provides that the applicant shall be informed that if free legal services have been obtained by furnishing incorrect or false information or in a fraudulent manner, the legal services shall be stopped forthwith and that the expenses incurred by the Legal Services Institutions shall be recoverable from him or her.",legal_aid_info
Help me know about: 67.	What is a Permanent Lok Adalat?,It is an inexpensive forum for amicable resolution of a dispute between an aggrieved person and a Public Utility Service provider.,lok_adalat_info
I want to understand 81.	what is the difference between a regular lok adalat and a permanent lok adalat for public utility services?,"The main difference between these two Lok Adalats is when one of the parties to a dispute, pending before any Court and referred to the Regular Lok Adalat or a pre-litigation case, does not agree, the other party will be advised to pursue his remedies by approaching Civil Court/ Appropriate Forum, but in the Permanent Lok Adalat for Public Utility Services, even if one of the parties fail to reach an agreement during conciliation proceedings, it may decide the dispute on merits under Section 22-C (8) of the Legal Services Authorities Act, 1987 and such a decision shall be final and binding on all the parties thereto and on persons claiming under them under Section 22-E (1) of the Legal Services Authorities Act, 1987 and shall not be called in question in any original suit, application or execution proceeding as per Section 22-E(4)of the Act.",lok_adalat_info
"What are the steps involved in 46.	can legal services institutions under the legal services authorities act, 1987, assist with matters related to family disputes and domestic violence??","Yes, even in matrimonial cases, legal aid is provided.",general_legal_service
"I want to understand 40. can a person who is abroad but has a case to file or defend in india, get legal aid?","Yes, such a person may apply for legal aid through email or LSMS Portal, provided he/ she meets the criteria under Section 12 and 13 of the Legal Services Authorities Act, 1987.",legal_aid_info
How do I go about 70.	what type of disputes in public utility services the permanent lok adalats for public utility services would decide??,"The Permanent Lok Adalats for Public Utility Services would decide disputes relating to deficiency in service, claims for damages/ compensation, recovery of money, etc., pertaining to all Public Utility services.",lok_adalat_info
I want to understand 82.	what is mediation?,"Mediation is a non-binding negotiation process in which a neutral third person facilitates the parties to the dispute in arriving at a mutually acceptable settlement. The process is informal where the outcome of the dispute is controlled by the parties themselves. The entire process is confidential. Civil cases, matrimonial and family disputes are best suited for mediation.",mediation
How do I go about 38. is a victim or a complainant who is aggrieved by an order of a court entitled to grant of free legal aid??,"Yes, if he meets the eligibility criteria of Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
Can you help me with: 42.	Who are Panel Lawyers??,Panel lawyers are lawyers who are empanelled with the Legal Services Institutions for a fixed tenure. They provide legal representation for the concerned Legal Services Institutions but are permitted to provide representation on private legal cases too.,general_legal_info
Please explain: 8. How is free legal aid different from legal advice and assistance?,"Legal aid is the provision of legal representation to a person in the District Courts, High Courts and Supreme Court or tribunals, by a lawyer assigned by the Legal Service Authority concerned.Legal Advice and Assistance is the provision of advice on general areas of law as governed by the laws of India by the lawyers employed with the Legal Services Institution concerned. For e.g. if a person has to file a case in court, he would be provided legal aid (in form of assignment of a Legal Services Advocate). However, if he only needs some help in drafting a legal notice to be sent prior to filing of a complaint under Section 138 of the Negotiable Instruments Act 1881, he would get legal consultation/ advice regarding the same. A person who does not come under the purview of Section 12 of Legal Services Authorities Act, 1987, to be eligible for free legal aid, can still avail legal advice and assistance from the Legal Services Institutions.",legal_aid_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
51.	Can Legal Services Institutions assist in cases of wrongful incarceration or miscarriage of justice?,"Yes, Legal Services Institutions can offer legal aid to individuals facing wrongful incarceration, striving to rectify miscarriages of justice through proper legal representation. The concerned Legal Services Institution identify such persons who are wrongly incarcerated and then assist them to file appropriate applications before the concerned court or board.",general_legal_service
Please explain: 62.	How can one know the case status? Where can one find the next date of hearing ?,"One can request one’s legal aid lawyer to give update about the case status and the next date of hearing. Additionally, one may download the ‘e-courts’ app on mobile phone or visit their website here- https://services.ecourts.gov.in/ecourtindia_v6/ and enter the case details to find out all information related to the case.",general_legal_info
Please explain: 12. How can one approach NALSA/ SLSA/ DLSA/ TLSC/ HCLSC/ SCLSC? Where can an application for legal aid be made?,"One may approach the NALSA/SLSA/DLSA/TLSC/HCLSC/SCLSC personally; or by post; or through NALSA’s Legal Services Management System (LSMS) portal; or through e-mail. Depending upon the territorial and subject matter jurisdiction of the case, an individual should approach the following appropriate authority:Taluka Legal Services Committee which is in the premises of the Court in that Taluka; orDistrict Legal Services Authority which is in the premises of the District Court in the District Headquarters; orThe concerned State Legal Services Authority (as the State Legal Services Authorities maintain a central panel for some categories of cases such as for the Tribunals etc.);The High Court Legal Services Committee which is in the premises of the concerned High Court; orThe Supreme Court Legal Services Committee for cases before the Hon’ble Supreme Court.Each District Legal Services Authority, High Court Legal Services Committee and State Legal Services Authority has a Front Office where an application for legal aid can be filed.One can even access and apply on the online portal of NALSA (https://nalsa.gov.in/) or the website of the State Legal Services Authorities.One can also fill up the ready-made form/application form that is available at the nearest Legal Services Institution and submit the same at either the Legal Services Institution physically, or post the application to the Legal Services Institution.One can even make an application in writing on a simple piece of paper with the necessary details such as: name, gender, residential address, employment status, nationality, whether SC/ST (with proof in support), income per annum (with affidavit), the case for which legal aid is required etc. and submit it physically or send by postAnother option is to send the application online i.e. by email to NALSA (at nalsa-dla@nic.in). It is also possible to make an application orally – a Paralegal Volunteer or an officer of the concerned Legal Services Institution will assist the person in such cases.",legal_aid_info
What should I do for: 42.	who are panel lawyers??,Panel lawyers are lawyers who are empanelled with the Legal Services Institutions for a fixed tenure. They provide legal representation for the concerned Legal Services Institutions but are permitted to provide representation on private legal cases too.,general_legal_info
"Legal guidance needed: 9. Whether one needs to pay for legal services provided by Legal Services Institutions constituted under the Legal Services Authorities Act, 1987?",No. Legal services provided by the Legal Services Institutions are completely free of cost to the beneficiary. All costs involved are borne by the Legal Services Institutions.,general_legal_service
Can a juvenile be sent to jail?,"Juveniles are sent to observation homes, not jails, under the Juvenile Justice Act.",juvenile_justice
Where can I get help if I'm a crime victim?,You can approach the DLSA or police to get immediate help and legal support.,victim_support
How do I go about 67.	what is a permanent lok adalat??,It is an inexpensive forum for amicable resolution of a dispute between an aggrieved person and a Public Utility Service provider.,lok_adalat_info
What happens in a court's first hearing?,The court hears initial arguments and sets dates for evidence submission or next steps.,first_hearing_info
What is the procedure for: 2. what is the role and function of nalsa??,"As per Section 4 of the Legal Services Authorities Act, 1987, NALSA has been assigned to perform all or any of the following functions:Laying down policies and principles for making legal services available under the provisions of the Legal Services Authorities Act, 1987;Framing the most effective and economical schemes for the purpose of making legal services available under the provisions of the Legal Services Authorities Act, 1987;Utilizing the funds at its disposal and making appropriate allocations of funds to the State Authorities and District Authorities;Taking necessary steps by way of social justice litigation with regard to consumer protection, environmental protection, or any other matter of special concern to the weaker sections of the society and for this purpose, give training to social workers in legal skills;Organizing legal aid camps, especially in rural areas, slums, or labor colonies with the dual purpose of educating the weaker sections of the society as to their rights as well as encouraging the settlement of disputes through Lok Adalats;Encouraging the settlement of disputes by way of negotiation, arbitration, and conciliation;Undertaking and promoting research in the field of legal services with special reference to the need for such services among the poor;Doing all things necessary for the purpose of ensuring commitment to the Fundamental Duties of citizens under Part IVA of the Constitution;Monitoring and evaluating implementation of the legal aid programmes at periodic intervals and providing independent evaluation of programmes and schemes implemented in whole or in part by funds provided under this Act;Providing grants-in-aid for specific schemes to various voluntary social service institutions and the State and District Authorities, from out of the amounts placed at its disposal for the implementation of the legal services schemes under the provisions of this Legal Services Authorities Act, 1987;Developing, in consultation with the Bar Council of India, programmes for clinical legal education and promoting guidance and supervising the establishment and working of legal services clinics in universities, law colleges, and other institutions;Taking appropriate measures for spreading legal literacy and legal awareness amongst the people and, in particular, to educate weaker sections of the society about the rights, benefits, and privileges guaranteed by social welfare legislations and other enactments as well as administrative programmes and measures;Making special efforts to enlist the support of voluntary social welfare institutions working at the grassroots level, particularly among the Scheduled Castes and the Scheduled Tribes, women, and rural and urban labor; andCoordinating and monitoring the functioning of State Authorities, District Authorities, Supreme Court Legal Services Committee, High Court Legal Services Committees, Taluka Legal Services Committees and voluntary social service institutions and other legal services organizations and give general directions for the proper implementation of the legal services programs.As per Section 5 of the Legal Services Authorities Act, 1987, NALSA has also been entrusted with the duty to work in coordination with other agencies for the purposes of providing access to justice to the marginalized sections of the society.",general_legal_info
"What are the steps involved in 40. can a person who is abroad but has a case to file or defend in india, get legal aid??","Yes, such a person may apply for legal aid through email or LSMS Portal, provided he/ she meets the criteria under Section 12 and 13 of the Legal Services Authorities Act, 1987.",legal_aid_info
