section_number,section_title,description,example_use_cases,punishment
230,"Coin – Government of India","This section defines 'coin' as metal used as money, stamped and issued by the authority of the Government of India or a foreign government to be used as money.","Indian rupee coins; US dollar coins.","N/A (Interpretive)"
231,"Counterfeiting coin","This section defines and punishes the act of counterfeiting, or performing any part of the process of counterfeiting, coin.","Operating a mint to produce fake Rs. 10 coins.","Imprisonment up to 7 years, and fine"
232,"Counterfeiting Indian coin","This section provides enhanced punishment for counterfeiting Indian coin (as opposed to foreign coin).","Producing fake one-rupee coins.","Imprisonment for life, or imprisonment up to 10 years, and fine"
233,"Making or selling instrument for counterfeiting coin","This section punishes making, mending, buying, selling, or disposing of any tool or instrument for the purpose of being used in counterfeiting coin.","Manufacturing or selling the dies and molds needed to press fake coins.","Imprisonment up to 3 years, and fine (For Indian coin, imprisonment up to 7 years and fine)"
234,"Making or selling instrument for counterfeiting Indian coin","This section provides enhanced punishment for making or selling instruments specifically for counterfeiting Indian coin.","Selling a machine designed to mint fake Indian rupees.","Imprisonment up to 7 years, and fine"
235,"Possession of instrument or material for the purpose of using the same for counterfeiting coin","This section punishes being in possession of any tool or material intended to be used for counterfeiting coin, knowing it to be for such purpose.","Being caught with blank metal discs and acid ready to be used to make fake coins.","Imprisonment up to 3 years, and fine (For Indian coin, imprisonment up to 10 years and fine)"
236,"Abetting in India the counterfeiting out of India of coin","This section punishes abetting, from within India, the counterfeiting of coin outside of India.","Providing technical expertise from India to a group counterfeiting coins in a neighbouring country.","Punishment as for counterfeiting such coin itself"
237,"Import or export of counterfeit coin","This section punishes importing or exporting counterfeit coin, knowing it to be counterfeit.","Smuggling fake currency coins into or out of the country.","Imprisonment up to 3 years, and fine"
238,"Import or export of counterfeits of the Indian coin","This section provides enhanced punishment for importing or exporting counterfeit Indian coin, knowing it to be counterfeit.","Smuggling fake Indian rupee coins.","Imprisonment for life, or imprisonment up to 10 years, and fine"
239,"Delivery of coin, possessed with knowledge that it is counterfeit","This section punishes delivering to another person any coin which you know to be counterfeit, with the intention that it be passed off as genuine.","Giving a fake coin to a shopkeeper as change, knowing it is fake.","Imprisonment up to 5 years, and fine"
240,"Delivery of Indian coin, possessed with knowledge that it is counterfeit","This section provides enhanced punishment for delivering counterfeit Indian coin, knowing it to be counterfeit.","Using a fake Indian rupee coin to buy something.","Imprisonment up to 10 years, and fine"
241,"Delivery of coin as genuine, which when first possessed the deliverer did not know to be counterfeit","This section punishes a person who delivers a counterfeit coin as genuine, but who only discovered it was counterfeit after receiving it and before delivering it to someone else.","A shopkeeper receives a fake coin, realizes it is fake, but then tries to pass it on to a customer.","Imprisonment up to 2 years, or fine, or up to 10 times the value of the coin"
242,"Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof","This section punishes being in possession of a counterfeit coin, knowing it to be counterfeit at the time you acquired it.","Keeping a collection of fake coins that you know are not real.","Imprisonment up to 3 years, and fine"
243,"Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof","This section provides enhanced punishment for possessing counterfeit Indian coin, knowing it to be counterfeit when you acquired it.","Being found with a bag of fake Indian rupee coins that you knowingly obtained.","Imprisonment up to 7 years, and fine"
244,"Person employed in mint causing coin to be of different weight or composition from that fixed by law","This section punishes a worker in a government mint who deliberately causes coins to be made of a weight or composition different from that established by law.","A mint employee steals gold meant for coins and replaces it with a cheaper metal.","Imprisonment up to 7 years, and fine"
245,"Unlawfully taking coining instrument from mint","This section punishes unlawfully taking out of a government mint any tool or instrument used for the process of coining.","Stealing a die from the India Government Mint.","Imprisonment up to 7 years, and fine"
246,"Fraudulently or dishonestly diminishing weight or altering composition of coin","This section punishes fraudulently or dishonestly diminishing the weight or altering the composition of any coin.","Shaving off edges of a gold coin to steal the metal while still passing it as currency.","Imprisonment up to 3 years, and fine"
247,"Fraudulently or dishonestly diminishing weight or altering composition of Indian coin","This section provides enhanced punishment for fraudulently or dishonestly diminishing the weight or altering the composition of Indian coin.","Altering the metal content of a rupee coin.","Imprisonment up to 7 years, and fine"
248,"Altering appearance of coin with intent that it shall pass as coin of different description","This section punishes altering the appearance of a coin with the intention that it shall pass as a coin of a different description (e.g., of higher value).","Plating a one-rupee coin with silver to make it look like a ten-rupee coin.","Imprisonment up to 3 years, and fine"
249,"Altering appearance of Indian coin with intent that it shall pass as coin of different description","This section provides enhanced punishment for altering the appearance of Indian coin with the intent to pass it as a different Indian coin.","Altering a Rs. 2 coin to resemble a Rs. 5 coin.","Imprisonment up to 7 years, and fine"
250,"Delivery of coin, possessed with knowledge that it is altered","This section punishes delivering to another person any coin which you know has been altered (e.g., in weight, composition, or appearance), with the intention that it be used as genuine.","Paying with a coin that you know has been shaved down.","Imprisonment up to 5 years, and fine"
251,"Delivery of Indian coin, possessed with knowledge that it is altered","This section provides enhanced punishment for delivering altered Indian coin (as opposed to foreign coin), knowing it to be altered, with the intent that it be used as genuine.","Paying with an Indian rupee coin that has been shaved down to reduce its weight.","Imprisonment up to 10 years, and fine"
252,"Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof","This section is a repeat/verification. It punishes being in possession of any counterfeit coin, knowing it to be counterfeit at the time of acquisition. (Note: This is identical to S.242. It may be an error or specific emphasis in certain editions).","Holding onto a fake coin a friend gave you as a curiosity, knowing it's counterfeit.","Imprisonment up to 3 years, and fine"
253,"Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof","This section provides enhanced punishment for possessing counterfeit Indian coin, knowing it to be counterfeit when acquired. (Note: This is identical to S.243).","Collecting fake Indian antique coins that you know are modern forgeries.","Imprisonment up to 7 years, and fine"
254,"Delivery of coin as genuine, which when first possessed the deliverer did not know to be counterfeit","This section punishes a person who, after receiving a coin in good faith, discovers it is counterfeit but still delivers it to another person as if it were genuine.","A shopkeeper receives a fake coin in payment, realizes it later, but then uses it to give change to a customer.","Imprisonment up to 2 years, or fine, or up to ten times the value of the coin"
255,"Counterfeiting Government stamp","This section defines and punishes the act of counterfeiting, or performing any part of the process of counterfeiting, any stamp issued by the Government for revenue purposes.","Creating a fake judicial court fee stamp; forging a fake postage stamp.","Imprisonment for life, or imprisonment up to 10 years, and fine"
256,"Having possession of instrument or material for counterfeiting Government stamp","This section punishes being in possession of any tool or material intended for counterfeiting a government stamp, knowing it is to be used for that purpose.","Possessing paper, ink, and plates specifically designed to mimic the security features of a revenue stamp.","Imprisonment up to 7 years, and fine"
257,"Making or selling instrument for counterfeiting Government stamp","This section punishes making, repairing, buying, selling, or disposing of any instrument for the purpose of being used in counterfeiting a government stamp.","Manufacturing or selling a printing press specially adapted to print fake revenue stamps.","Imprisonment up to 7 years, and fine"
258,"Sale of counterfeit Government stamp","This section punishes selling, or offering for sale, any counterfeit government stamp, knowing it to be counterfeit.","Selling a sheet of fake postage stamps to a philatelist.","Imprisonment up to 7 years, and fine"
259,"Having possession of counterfeit Government stamp","This section punishes being in possession of any counterfeit government stamp, knowing it to be counterfeit. It must be with intent to use or dispose of it as genuine.","Carrying a counterfeit court fee stamp to use it on a legal document.","Imprisonment up to 7 years, and fine"
260,"Using as genuine a Government stamp known to be counterfeit","This section punishes using as genuine any government stamp which one knows to be counterfeit.","Affixing a fake revenue stamp to a contract and submitting it to a government office.","Imprisonment up to 7 years, or fine, or both"
261,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government","This section punishes fraudulently or dishonestly effacing any writing from a substance bearing a government stamp, or removing a used stamp from a document, with the intention of causing financial loss to the government by reusing the stamp.","Soaking a used court fee stamp off a document to reuse it on another.","Imprisonment up to 3 years, or fine, or both"
262,"Using Government stamp known to have been before used","This section punishes using as genuine any government stamp which one knows has already been used before.","Using a previously cancelled postage stamp to mail a letter.","Imprisonment up to 2 years, or fine, or both"
263,"Erasure of mark denoting that stamp has been used","This section punishes fraudulently erasing or removing any mark that indicates a government stamp has been used, with the intent to reuse it.","Removing the cancellation mark from a used revenue stamp.","Imprisonment up to 3 years, or fine, or both"
263A,"Prohibition of fictitious stamps","This section punishes making, selling, or possessing any fictitious stamp, which is a stamp that resembles a government stamp but is not actually issued by the government for revenue. It also covers using such a stamp.","Creating and selling stickers that look like postage stamps but are not valid for postage.","Imprisonment up to 2 years, or fine, or both"
264,"Fraudulent use of false instrument for weighing","This section punishes fraudulently using any false instrument for weighing (like a rigged scale) with the intent to defraud.","A shopkeeper using a scale with a hidden magnet to show a higher weight.","Imprisonment up to 1 year, or fine, or both"
265,"Fraudulent use of false weight or measure","This section punishes fraudulently using any false weight or measure (like a light kilogram weight) with the intent to defraud.","A trader using a one-litre measure that is actually only 900 ml.","Imprisonment up to 1 year, or fine, or both"
266,"Being in possession of false weight or measure","This section punishes being in possession of any false weight or measure, knowing it to be false, with the intention that it be used to defraud.","A merchant keeps an underweight brass weight under the counter to use when cheating customers.","Imprisonment up to 1 year, or fine, or both"
267,"Making or selling false weight or measure","This section punishes making, selling, or disposing of any false weight or measure, knowing that it is false and that it is likely to be used to defraud.","A blacksmith manufactures and sells rigged weighing scales to shopkeepers.","Imprisonment up to 1 year, or fine, or both"
268,"Public nuisance","This section defines a 'public nuisance'. It is an act or illegal omission which causes common injury, danger, or annoyance to the public or to people dwelling in the vicinity. It must affect the public, not just individuals.","Obstructing a public road; running a factory creating excessive smoke and noise in a residential area.","N/A (Interpretive - Element of other offences)"
269,"Negligent act likely to spread infection of disease dangerous to life","This section punishes a negligent act which is likely to spread the infection of any disease dangerous to life.","A person diagnosed with a contagious disease like tuberculosis negligently and unnecessarily travels in a crowded bus.","Imprisonment up to 6 months, or fine, or both"
270,"Malignant act likely to spread infection of disease dangerous to life","This section punishes a malignant (intentional or reckless) act which is likely to spread the infection of any disease dangerous to life. It implies a greater degree of culpability than S.269.","Knowingly donating infected blood; intentionally spitting on others while infected with a serious disease.","Imprisonment up to 2 years, or fine, or both"
271,"Disobedience to quarantine rule","This section punishes voluntary disobedience to any rule made and promulgated by the government for placing any person or ship under quarantine (isolation to prevent spread of disease).","Breaking out of a government-mandated quarantine facility during an epidemic.","Imprisonment up to 6 months, or fine, or both"
272,"Adulteration of food or drink intended for sale","This section punishes adulterating any article of food or drink so that it becomes noxious (harmful) as food or drink, with the intention of selling it.","Mixing water with milk knowing it is contaminated; adding harmful chemicals to sweets to preserve them.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
273,"Sale of noxious food or drink","This section punishes selling, offering, or exposing for sale any article of food or drink which one knows to be noxious (harmful).","Selling spoilt meat; serving contaminated water at a restaurant.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
274,"Adulteration of drugs","This section punishes adulterating any drug or medical preparation so that it becomes less effective, different in effect, or noxious, with the intention of selling it.","Diluting insulin with water; adding chalk powder to antibiotic tablets.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
275,"Sale of adulterated drugs","This section punishes selling, offering, or exposing for sale any drug which one knows to have been adulterated.","Selling the diluted insulin or chalk-mixed antibiotics to patients.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
276,"Sale of drug as a different drug or preparation","This section punishes selling, or offering for sale, any drug or medical preparation as a different drug or preparation, knowing it is not that drug.","Selling paracetamol tablets by labelling them as a expensive painkiller.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
277,"Fouling water of public spring or reservoir","This section punishes voluntarily corrupting or fouling the water of a public spring or reservoir so as to make it less fit for the purpose it is ordinarily used for.","Dumping industrial waste into a public lake that is a source of drinking water.","Imprisonment up to 3 months, or fine up to Rs. 500, or both"
278,"Making atmosphere noxious to health","This section punishes voluntarily vitiating the atmosphere in any place to make it noxious to the health of persons in the vicinity or dwelling nearby.","Releasing toxic fumes from a factory without filters in a populated area.","Imprisonment up to Rs. 500"
279,"Rash driving or riding on a public way","This section punishes driving any vehicle or riding on any public way in a manner so rash or negligent as to endanger human life or likely to cause hurt or injury to any other person.","Driving a car at a dangerously high speed in a crowded market area.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
280,"Rash navigation of vessel","This section punishes navigating any vessel in a manner so rash or negligent as to endanger human life or likely to cause hurt or injury to any other person.","Speeding a boat recklessly in a area full of swimmers.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
281,"Exhibition of false light, mark or buoy","This section punishes exhibiting any false light, mark, or buoy with the intention of misleading navigators.","Setting up a light on shore to mimic a lighthouse and cause ships to run aground.","Imprisonment up to 7 years, or fine, or both"
282,"Conveying person by water for hire in unsafe or overloaded vessel","This section punishes knowingly or negligently conveying a person by water in a vessel that is unsafe, overloaded, or otherwise unfit for the journey, when that conveyance is for hire.","A ferry operator overloads his boat with passengers, making it unstable and dangerous.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
283,"Danger or obstruction in public way or line of navigation","This section punishes causing danger, obstruction, or injury to any person in any public way or line of navigation by doing any act or leaving any thing in that space.","Leaving construction debris on a sidewalk; holding a festival that blocks a public road without permission.","Fine up to Rs. 200"
284,"Negligent conduct with respect to poisonous substance","This section punishes a negligent act with any poisonous substance which is likely to cause hurt or injury to any person.","Leaving a bottle of pesticide open and unattended in a place where children can access it.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
285,"Negligent conduct with respect to fire or combustible matter","This section punishes a negligent act with fire or any combustible matter which is likely to cause hurt or injury to any person.","Smoking and carelessly discarding a cigarette near a petrol pump; storing fireworks improperly in a residential building.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
286,"Negligent conduct with respect to explosive substance","This section punishes a negligent act with any explosive substance which is likely to cause hurt or injury to any person.","Storing dynamite in an unstable manner; mishandling fireworks during Diwali in a crowded area.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
287,"Negligent conduct with respect to machinery","This section punishes a negligent act with any machinery, where that act is likely to cause hurt or injury to any person.","Operating an industrial machine without safety guards; leaving a powerful farm machine running unattended.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
288,"Negligent conduct with respect to pulling down or repairing buildings","This section punishes a negligent act in pulling down or repairing any building, which is likely to endanger human life.","Demolishing a wall without putting up barriers to protect pedestrians; carrying out repairs without securing falling debris.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
289,"Negligent conduct with respect to animal","This section punishes a negligent act with respect to any animal in one's possession, which is likely to cause hurt or injury to any person.","Letting a dangerous dog roam freely in a public park; not properly securing a bull known to be aggressive.","Imprisonment up to 6 months, or fine up to Rs. 1000, or both"
290,"Punishment for public nuisance in cases not otherwise provided for","This section is a general provision that punishes the commission of a public nuisance for which no specific punishment is provided elsewhere in the Code.","Creating excessive noise late at night; causing a foul smell from accumulated garbage that affects the neighbourhood.","Fine up to Rs. 200"
291,"Continuance of nuisance after injunction to discontinue","This section provides for enhanced punishment if a person continues a public nuisance after receiving a legal injunction (order) to discontinue it.","Continuing to run a noisy workshop after a court has issued an order to stop the noise pollution.","Simple imprisonment up to 6 months, or fine, or both"
292,"Sale, etc., of obscene books, etc.","This section punishes the sale, hire, distribution, public exhibition, or circulation of any obscene book, pamphlet, paper, drawing, painting, representation, or any other obscene object.","Selling pornographic magazines; publicly displaying obscene paintings.","First conviction: up to 2 years imprisonment and fine up to Rs. 2000. Subsequent conviction: up to 5 years imprisonment and fine up to Rs. 5000."
293,"Sale, etc., of obscene objects to young person","This section provides enhanced punishment for selling, hiring, distributing, exhibiting, or circulating any obscene object to any person under the age of twenty years.","Selling an obscene DVD to a teenager.","First conviction: up to 3 years imprisonment and fine up to Rs. 2000. Subsequent conviction: up to 7 years imprisonment and fine up to Rs. 5000."
294,"Obscene acts and songs","This section punishes doing any obscene act in any public place, or singing, reciting, or uttering any obscene song, ballad, or words in or near any public place, to the annoyance of others.","Eve-teasing with obscene gestures; publicly singing lewd songs.","Imprisonment up to 3 months, or fine, or both"
294A,"Keeping lottery office","This section punishes keeping any office or place for the purpose of drawing any lottery, unless it is a state lottery or authorized by the state government. It does not include betting or gambling.","Running an unauthorized lottery like 'Satta Matka'.","Imprisonment up to 6 months, or fine, or both"
295,"Injuring or defiling place of worship with intent to insult the religion of any class","This section punishes destroying, damaging, or defiling any place of worship or any object held sacred by any class of persons, with the deliberate intention of thereby insulting the religion of that class.","Desecrating a temple, mosque, church, or gurudwara; breaking idols with intent to insult.","Imprisonment up to 2 years, or fine, or both"
295A,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs","This section punishes deliberate and malicious acts intended to outrage the religious feelings of any class of citizens by insulting its religion or religious beliefs. This includes spoken/written words, signs, visible representations.","Publishing a book with malicious and grossly offensive caricatures of a religious figure; making a speech specifically designed to insult a community's god.","Imprisonment up to 3 years, or fine, or both"
296,"Disturbing religious assembly","This section punishes voluntarily causing disturbance to any assembly lawfully engaged in religious worship or religious ceremonies.","Shouting loudly during a church service or a prayer meeting in a mosque; playing loud music during a funeral procession.","Imprisonment up to 1 year, or fine, or both"
297,"Trespassing on burial places, etc.","This section punishes trespassing in any place of worship or any place of sepulchre (burial/cremation ground), or any place set apart for funeral rites, with the intent to wound the feelings of any person or to insult the religion of any person.","Urinating in a cemetery; stealing from a grave with intent to insult.","Imprisonment up to 1 year, or fine, or both"
298,"Uttering words, etc., with deliberate intent to wound religious feelings","This section punishes uttering any word or making any sound in the hearing of a person, or making any gesture or placing any object in the sight of a person, with the deliberate intent to wound their religious feelings.","Directly insulting the god of a person to their face to hurt them.","Imprisonment up to 1 year, or fine, or both"
299,"Culpable homicide","This section defines 'culpable homicide'. It is causing death by doing an act: 1) with the intention of causing death, or 2) with the intention of causing such bodily injury as is likely to cause death, or 3) with the knowledge that the act is likely to cause death.","Shooting someone (intention to kill); severely beating a frail person (knowledge of likely death); pushing someone off a tall building.","N/A (Interpretive - Defines the offence for S.304)"
300,"Murder","This section defines when culpable homicide amounts to 'murder'. It outlines specific circumstances where the act is done with the clear intention of causing death, or with such intention and knowledge that it falls into the category of the most serious homicide.","A planned, pre-meditated killing; causing injury known to be sufficient in the ordinary course of nature to cause death; committing a homicide during a violent robbery.","N/A (Interpretive - Defines the offence for S.302)"
301,"Culpable homicide by causing death of person other than person whose death was intended","This section, often called the 'Doctrine of Transfer of Malice', states that if a person causes death by doing an act with the intention of killing a specific person, but instead kills another person, the offence is still culpable homicide. The intent is transferred from the intended victim to the actual victim.","A shoots at B intending to kill him, but misses and kills C, who was standing nearby. A is guilty of the murder of C.","Punishment as for the offence if the intended person had been killed (e.g., Murder under S.302)"
302,"Punishment for murder","This section provides the punishment for the offence of murder, as defined in S.300.","A person who commits a planned, intentional killing.","Death, or Imprisonment for life, and fine"
303,"Punishment for murder by life-convict","This section provided mandatory death sentence for a person already serving a life sentence who commits murder. It was declared unconstitutional by the Supreme Court of India in 1983 (Mithu vs. State of Punjab).","[This section is no longer in force]","[Unconstitutional]"
304,"Punishment for culpable homicide not amounting to murder","This section provides the punishment for culpable homicide that does not fall under the definition of murder. It is divided into two parts: Part 1 for acts done with the intention of causing death or such bodily injury as is likely to cause death; Part 2 for acts done with the knowledge that they are likely to cause death, but without intention.","Part 1: A kills B in a sudden fight in the heat of passion. Part 2: A negligently gives a child a poisonous substance, knowing it is dangerous but without intent to kill, and the child dies.","Part 1: Imprisonment for life, or imprisonment up to 10 years and fine. Part 2: Imprisonment up to 10 years, or fine, or both."
304A,"Causing death by negligence","This section punishes causing the death of any person by a rash or negligent act not amounting to culpable homicide (which requires higher intention/knowledge).","Death caused by rash driving; a doctor's gross negligence during surgery leading to patient's death.","Imprisonment up to 2 years, or fine, or both"
304B,"Dowry death","This section defines and punishes 'dowry death'. Where the death of a woman is caused by any burns or bodily injury, or occurs under abnormal circumstances, within 7 years of marriage, and it is shown that she was soon before her death subjected to cruelty or harassment by her husband or his relative for, or in connection with, any demand for dowry.","A woman is found dead in her kitchen shortly after marriage, and there is evidence of her being harassed for a car and cash.","Imprisonment of not less than 7 years which may extend to imprisonment for life"
305,"Abetment of suicide of child or insane person","This section punishes abetting the suicide of a person under eighteen years of age, or any insane person, or delirious person, or an idiot, or any person in a state of intoxication.","A caregiver persuades a depressed minor to jump off a building.","Death, or Imprisonment for life, or imprisonment up to 10 years, and fine"
306,"Abetment of suicide","This section punishes abetting the commission of suicide of any person.","A person intentionally instigates or aids another person, driving them to take their own life.","Imprisonment up to 10 years, and fine"
307,"Attempt to murder","This section punishes the attempt to commit murder. If hurt is caused in the attempt, the punishment is more severe. If the act is done under the circumstances that would constitute murder if the person died, the attempt is punished.","Shooting at someone with intent to kill but they survive; poisoning someone who later recovers.","Imprisonment up to 10 years, and fine (If hurt is caused, imprisonment up to life, and fine)"
308,"Attempt to commit culpable homicide","This section punishes the attempt to commit culpable homicide not amounting to murder. It applies when an act is done with such intention or knowledge that it would constitute culpable homicide if the person died.","A person attacks another in a sudden fight, intending to cause serious injury likely to cause death, but the victim survives.","Imprisonment up to 3 years, or fine, or both (If hurt is caused, imprisonment up to 7 years, or fine, or both)"
309,"Attempt to commit suicide","This section punishes a person who attempts to commit suicide. The Supreme Court has decriminalized attempt to suicide, but the section remains in the statute. Mental Healthcare Act, 2017 assumes such a person has severe stress and provides for treatment, not punishment.","[Though on statute books, prosecution under this section is effectively halted]","[Decriminalized in practice]"
310,"Thug","This section defines a 'Thug' as a person who is either a habitually associated with others for committing robbery or child kidnapping by means of or accompanied with murder. This is a historical offence.","Being part of a gang that historically operated by deceiving and murdering travellers.","N/A (Interpretive - Element for S.311)"
311,"Punishment","This section provides the punishment for being a Thug.","A person convicted of being a Thug.","Imprisonment for life, and fine"
312,"Causing miscarriage","This section punishes voluntarily causing a woman with child to miscarry. If the woman is quick with child (felt the child move), the punishment is higher. It does not apply if done in good faith to save the woman's life.","Causing an abortion without the woman's consent; a person administering drugs to a pregnant woman to cause miscarriage.","Imprisonment up to 3 years, or fine, or both (If quick with child, imprisonment up to 7 years, and fine)"
313,"Causing miscarriage without woman's consent","This section punishes causing miscarriage without the consent of the woman, whether she is quick with child or not. This is a more serious offence than S.312.","Forcibly causing a woman to miscarry against her will.","Imprisonment for life, or imprisonment up to 10 years, and fine"
314,"Death caused by act done with intent to cause miscarriage","This section punishes an act done with intent to cause a miscarriage, if that act causes the death of the woman. It does not require intent to kill the woman.","A person performing an unsafe abortion on a woman, which leads to her death.","Imprisonment up to 10 years, and fine (If act done without consent, imprisonment up to 10 years, and fine)"
315,"Act done with intent to prevent child being born alive or to cause it to die after birth","This section punishes an act done before or during birth with the intention of preventing a child from being born alive, or causing it to die after its birth. It does not amount to murder if the child dies.","Injuring a child in the womb to ensure it is stillborn.","Imprisonment up to 10 years, or fine, or both"
316,"Causing death of quick unborn child by act amounting to culpable homicide","This section punishes causing the death of a quick unborn child (a fetus that has moved) by an act which would amount to culpable homicide if it had caused the death of the mother.","A person assaults a pregnant woman, intending to cause her serious injury, which results in the death of her quick unborn child.","Imprisonment up to 10 years, and fine"
317,"Exposure and abandonment of child under twelve years, by parent or person having care of it","This section punishes a parent or caregiver for exposing or leaving a child under twelve years of age with the intention of wholly abandoning it.","Leaving a newborn baby in a garbage dump; abandoning a young child in a remote forest.","Imprisonment up to 7 years, or fine, or both"
318,"Concealment of birth by secret disposal of dead body","This section punishes secretly disposing of the dead body of a child, whether the child died before, during, or after birth, with the intention of concealing its birth.","Burying the body of a stillborn child in the backyard to hide the pregnancy.","Imprisonment up to 2 years, or fine, or both"
319,"Hurt","This section defines 'Hurt' as causing bodily pain, disease, or infirmity to any person. This is the basic definition for all offences against the human body involving injury.","Slapping someone; pushing someone; giving someone a disease.","N/A (Interpretive - Element for S.323, etc.)"
320,"Grievous hurt","This section defines 'Grievous Hurt' by listing specific kinds of hurt, which are considered more serious. These include emasculation, permanent privation of sight/hearing/speech/limb/joint, permanent disfigurement, fracture, and hurt which endangers life or causes severe pain for 20 days.","Breaking a person's arm; permanently blinding someone in one eye; causing a dangerous head injury.","N/A (Interpretive - Element for S.325, etc.)"
321,"Voluntarily causing hurt","This section defines the mental element for voluntarily causing hurt. It is doing an act with the intention of causing hurt, or with the knowledge that it is likely to cause hurt.","Intentionally punching someone.","Punishment as per S.323"
322,"Voluntarily causing grievous hurt","This section defines the mental element for voluntarily causing grievous hurt. It is doing an act with the intention of causing grievous hurt, or with the knowledge that it is likely to cause grievous hurt.","Intentionally hitting someone with an iron rod, knowing it could break bones.","Punishment as per S.325"
323,"Punishment for voluntarily causing hurt","This section provides the punishment for the offence of voluntarily causing hurt, as defined in S.319 and S.321.","A person gets into a fight and punches another, causing a black eye and pain.","Imprisonment up to 1 year, or fine up to Rs. 1000, or both"
324,"Voluntarily causing hurt by dangerous weapons or means","This section provides enhanced punishment for voluntarily causing hurt by any instrument for shooting/stabbing/cutting, or any instrument used as a weapon of offence, or by fire/ heated substance/ poison/ corrosive substance/ explosive, or by any animal.","Stabbing someone with a knife; throwing acid; setting a dog on someone.","Imprisonment up to 3 years, or fine, or both"
325,"Punishment for voluntarily causing grievous hurt","This section provides the punishment for the offence of voluntarily causing grievous hurt, as defined in S.320 and S.322.","A person attacks another and fractures their jaw.","Imprisonment up to 7 years, and fine"
326,"Voluntarily causing grievous hurt by dangerous weapons or means","This section provides enhanced punishment for voluntarily causing grievous hurt by any instrument for shooting/stabbing/cutting, or any instrument used as a weapon of offence, or by fire/ heated substance/ poison/ corrosive substance/ explosive.","Causing permanent eye damage by throwing acid; shooting someone in the leg, causing a compound fracture.","Imprisonment for life, or imprisonment up to 10 years, and fine"
326A,"Voluntarily causing grievous hurt by use of acid, etc.","This section provides specific and severe punishment for voluntarily throwing or attempting to throw acid on another person, or administering acid to them, with the intention of causing permanent damage, deformity, or disfigurement.","A person throws acid on a woman's face after she rejects his advances.","Imprisonment of not less than 10 years which may extend to imprisonment for life, and fine (fine shall be just and reasonable to meet medical expenses)"
326B,"Voluntarily throwing or attempting to throw acid","This section punishes voluntarily throwing or attempting to throw acid on another person with the intention of causing hurt or injury. It covers attempts even if no injury is caused.","Attempting to throw acid on someone but missing.","Imprisonment of not less than 5 years which may extend to 7 years, and fine"
327,"Voluntarily causing hurt to extort property, or to constrain to an illegal act","This section punishes voluntarily causing hurt for the purpose of extorting any property or valuable security, or to constrain someone to do anything illegal or which may facilitate the commission of an offence.","Torturing someone to reveal where they have hidden their money; beating someone to force them to sign a blank paper.","Imprisonment up to 10 years, and fine"
328,"Causing hurt by means of poison, etc., with intent to commit an offence","This section punishes administering any poison or intoxicating/stupefying/unwholesome drug to any person with the intent to commit or facilitate the commission of an offence, or knowing it is likely to cause hurt.","Drugging someone's drink to rob them while they are unconscious.","Imprisonment up to 10 years, and fine"
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act","This section punishes voluntarily causing grievous hurt for the purpose of extorting property or to constrain someone to do an illegal act. This is a more severe version of S.327.","Breaking someone's fingers to force them to transfer property.","Imprisonment for life, or imprisonment up to 10 years, and fine"
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property","This section punishes voluntarily causing hurt to extort a confession or any information, or to compel the restoration of any property or valuable security.","A police officer torturing a suspect to extract a confession; a person beating a servant accused of theft to recover stolen goods.","Imprisonment up to 7 years, and fine"
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property","This section punishes voluntarily causing grievous hurt to extort a confession or to compel the restoration of property. This is a more severe version of S.330.","A police officer causing serious injury to a suspect during interrogation.","Imprisonment up to 10 years, and fine"
332,"Voluntarily causing hurt to deter public servant from his duty","This section punishes voluntarily causing hurt to a public servant to deter them from their duty, or in consequence of anything done by that public servant in the lawful discharge of their duty.","Assaulting a traffic police officer who is issuing a ticket.","Imprisonment up to 3 years, or fine, or both"
333,"Voluntarily causing grievous hurt to deter public servant from his duty","This section punishes voluntarily causing grievous hurt to a public servant to deter them from their duty. This is a more severe version of S.332.","Causing a fracture to a municipal officer who is demolishing an illegal construction.","Imprisonment up to 10 years, and fine"
